edu_group,RACEV1X,Sum of average_spending
Bachelor+,6 MULTIPLE RACES REPORTED,14036.263157894737
Some College,6 MULTIPLE RACES REPORTED,12479.21301775148
Bachelor+,Black,9233.75
Bachelor+,White,8193.534767290932
High School,6 MULTIPLE RACES REPORTED,8089.983333333334
Some College,White,7856.1897926634765
Some College,Black,7517.445868945869
High School Not Completed,AIAN,7509.009615384615
High School,White,7314.287172941928
High School,Black,6943.630381803412
Bachelor+,AIAN,6089.923076923077
High School,AIAN,4952.266666666666
Some College,AIAN,4822.612903225807
High School,Asian,4465.815261044177
High School Not Completed,Black,4160.8041692988
Some College,Asian,3896.186046511628
High School Not Completed,White,3890.3255813953488
Bachelor+,Asian,3467.5883211678834
High School Not Completed,6 MULTIPLE RACES REPORTED,3066.7813688212927
High School Not Completed,Asian,2879.3630136986303
