,education_attainment_group,race_grp,good_health
0,Bachelor's,AIAN,0.5939849624060151
1,Bachelor's,Asian,0.6499184339314845
2,Bachelor's,Black,0.5771513353115727
3,Bachelor's,Other/Multiracial,0.6628787878787878
4,Bachelor's,Other/Unknown,0.5767441860465117
5,Bachelor's,Unknown-DK,0.35294117647058826
6,Bachelor's,Unknown-NA,0.654292343387471
7,Bachelor's,Unknown-Refused,0.7777777777777778
8,Bachelor's,White,0.6862988220706757
9,Graduate/Professional,AIAN,0.6506024096385542
10,Graduate/Professional,Asian,0.7317360565593087
11,Graduate/Professional,Black,0.6146010186757216
12,Graduate/Professional,Other/Multiracial,0.6534296028880866
13,Graduate/Professional,Other/Unknown,0.5645161290322581
14,Graduate/Professional,Unknown-DK,0.6666666666666666
15,Graduate/Professional,Unknown-NA,0.6927899686520376
16,Graduate/Professional,Unknown-Refused,0.3333333333333333
17,Graduate/Professional,White,0.7186188910307291
18,HS diploma/GED,AIAN,0.41379310344827586
19,HS diploma/GED,Asian,0.46472019464720193
20,HS diploma/GED,Black,0.4049117109803126
21,HS diploma/GED,Other/Multiracial,0.5437100213219617
22,HS diploma/GED,Other/Unknown,0.3952802359882006
23,HS diploma/GED,Unknown-DK,0.43333333333333335
24,HS diploma/GED,Unknown-NA,0.5027437737441959
25,HS diploma/GED,Unknown-Refused,0.375
26,HS diploma/GED,White,0.4554626072595412
27,Less than HS,AIAN,0.328125
28,Less than HS,Asian,0.3405511811023622
29,Less than HS,Black,0.2588883324987481
30,Less than HS,Other/Multiracial,0.4095238095238095
31,Less than HS,Other/Unknown,0.25
32,Less than HS,Unknown-DK,0.4074074074074074
33,Less than HS,Unknown-NA,0.34529356943150047
34,Less than HS,Unknown-Refused,0.0
35,Less than HS,White,0.3257606490872211
36,Some college/AA,AIAN,0.48232848232848236
37,Some college/AA,Asian,0.5730741540676746
38,Some college/AA,Black,0.4489236790606654
39,Some college/AA,Other/Multiracial,0.5811023622047244
40,Some college/AA,Other/Unknown,0.3935969868173258
41,Some college/AA,Unknown-DK,0.52
42,Some college/AA,Unknown-NA,0.5414973882762624
43,Some college/AA,Unknown-Refused,0.26666666666666666
44,Some college/AA,White,0.5391121162365625
45,Unknown,AIAN,0.8260869565217391
46,Unknown,Asian,0.8782991202346041
47,Unknown,Black,0.807812876778394
48,Unknown,Other/Multiracial,0.8844036697247707
49,Unknown,Other/Unknown,0.8240740740740741
50,Unknown,Unknown-DK,0.6666666666666666
51,Unknown,Unknown-NA,0.7825126262626263
52,Unknown,Unknown-Refused,0.6521739130434783
53,Unknown,White,0.881532683394598
